date,hour,Num_Crashes,day
2020-07-16,16,1,Thursday
2020-07-16,17,5,Thursday
2020-07-16,18,0,Thursday
2020-07-16,19,1,Thursday
2020-07-16,20,2,Thursday
2020-07-16,21,1,Thursday
2020-07-16,22,1,Thursday
2020-07-16,23,1,Thursday
2020-07-17,0,3,Friday
2020-07-17,1,2,Friday
2020-07-17,2,0,Friday
2020-07-17,3,0,Friday
2020-07-17,4,0,Friday
2020-07-17,5,1,Friday
2020-07-17,6,0,Friday
2020-07-17,7,0,Friday
2020-07-17,8,1,Friday
2020-07-17,9,3,Friday
2020-07-17,10,1,Friday
2020-07-17,11,2,Friday
2020-07-17,12,2,Friday
2020-07-17,13,2,Friday
2020-07-17,14,4,Friday
2020-07-17,15,2,Friday
2020-07-17,16,3,Friday
2020-07-17,17,1,Friday
2020-07-17,18,3,Friday
2020-07-17,19,2,Friday
2020-07-17,20,0,Friday
2020-07-17,21,0,Friday
2020-07-17,22,5,Friday
2020-07-17,23,0,Friday
2020-07-20,0,1,Monday
2020-07-20,1,2,Monday
2020-07-20,2,0,Monday
2020-07-20,3,0,Monday
2020-07-20,4,0,Monday
2020-07-20,5,0,Monday
2020-07-20,6,2,Monday
2020-07-20,7,1,Monday
2020-07-20,8,1,Monday
2020-07-20,9,1,Monday
2020-07-20,10,2,Monday
2020-07-20,11,0,Monday
2020-07-20,12,1,Monday
2020-07-20,13,4,Monday
2020-07-20,14,2,Monday
2020-07-20,15,2,Monday
2020-07-20,16,1,Monday
2020-07-20,17,2,Monday
2020-07-20,18,2,Monday
2020-07-20,19,5,Monday
2020-07-20,20,0,Monday
2020-07-20,21,3,Monday
2020-07-20,22,3,Monday
2020-07-20,23,1,Monday
2020-07-21,0,0,Tuesday
2020-07-21,1,2,Tuesday
2020-07-21,2,1,Tuesday
2020-07-21,3,1,Tuesday
2020-07-21,4,0,Tuesday
2020-07-21,5,0,Tuesday
2020-07-21,6,0,Tuesday
2020-07-21,7,3,Tuesday
2020-07-21,8,0,Tuesday
2020-07-21,9,1,Tuesday
2020-07-21,10,2,Tuesday
2020-07-21,11,3,Tuesday
2020-07-21,12,0,Tuesday
2020-07-21,13,2,Tuesday
2020-07-21,14,3,Tuesday
2020-07-21,15,0,Tuesday
2020-07-21,16,1,Tuesday
2020-07-21,17,1,Tuesday
2020-07-21,18,2,Tuesday
2020-07-21,19,2,Tuesday
2020-07-21,20,1,Tuesday
2020-07-21,21,2,Tuesday
2020-07-21,22,1,Tuesday
2020-07-21,23,1,Tuesday
2020-07-22,0,2,Wednesday
2020-07-22,1,1,Wednesday
2020-07-22,2,0,Wednesday
2020-07-22,3,0,Wednesday
2020-07-22,4,0,Wednesday
2020-07-22,5,0,Wednesday
2020-07-22,6,0,Wednesday
2020-07-22,7,2,Wednesday
2020-07-22,8,0,Wednesday
2020-07-22,9,3,Wednesday
2020-07-22,10,1,Wednesday
2020-07-22,11,1,Wednesday
2020-07-22,12,1,Wednesday
2020-07-22,13,3,Wednesday
2020-07-22,14,2,Wednesday
2020-07-22,15,2,Wednesday
2020-07-22,16,1,Wednesday
2020-07-22,17,1,Wednesday
2020-07-22,18,1,Wednesday
2020-07-22,19,3,Wednesday
2020-07-22,20,1,Wednesday
2020-07-22,21,2,Wednesday
2020-07-22,22,2,Wednesday
2020-07-22,23,0,Wednesday
2020-07-23,0,0,Thursday
2020-07-23,1,1,Thursday
2020-07-23,2,0,Thursday
2020-07-23,3,1,Thursday
2020-07-23,4,1,Thursday
2020-07-23,5,1,Thursday
2020-07-23,6,0,Thursday
2020-07-23,7,0,Thursday
2020-07-23,8,1,Thursday
2020-07-23,9,3,Thursday
2020-07-23,10,1,Thursday
2020-07-23,11,0,Thursday
2020-07-23,12,0,Thursday
2020-07-23,13,4,Thursday
2020-07-23,14,1,Thursday
2020-07-23,15,2,Thursday
2020-07-23,16,4,Thursday
2020-07-23,17,1,Thursday
2020-07-23,18,1,Thursday
2020-07-23,19,0,Thursday
2020-07-23,20,0,Thursday
2020-07-23,21,1,Thursday
2020-07-23,22,0,Thursday
2020-07-23,23,1,Thursday
2020-07-24,0,1,Friday
2020-07-24,1,0,Friday
2020-07-24,2,0,Friday
2020-07-24,3,0,Friday
2020-07-24,4,0,Friday
2020-07-24,5,0,Friday
2020-07-24,6,2,Friday
2020-07-24,7,1,Friday
2020-07-24,8,1,Friday
2020-07-24,9,3,Friday
2020-07-24,10,2,Friday
2020-07-24,11,3,Friday
2020-07-24,12,2,Friday
2020-07-24,13,6,Friday
2020-07-24,14,2,Friday
2020-07-24,15,2,Friday
2020-07-24,16,1,Friday
2020-07-24,17,2,Friday
2020-07-24,18,4,Friday
2020-07-24,19,2,Friday
2020-07-24,20,1,Friday
2020-07-24,21,1,Friday
2020-07-24,22,1,Friday
2020-07-24,23,0,Friday
2020-07-27,0,3,Monday
2020-07-27,1,1,Monday
2020-07-27,2,3,Monday
2020-07-27,3,0,Monday
2020-07-27,4,3,Monday
2020-07-27,5,0,Monday
2020-07-27,6,0,Monday
2020-07-27,7,1,Monday
2020-07-27,8,0,Monday
2020-07-27,9,1,Monday
2020-07-27,10,1,Monday
2020-07-27,11,1,Monday
2020-07-27,12,2,Monday
2020-07-27,13,3,Monday
2020-07-27,14,2,Monday
2020-07-27,15,1,Monday
2020-07-27,16,0,Monday
2020-07-27,17,1,Monday
2020-07-27,18,4,Monday
2020-07-27,19,1,Monday
2020-07-27,20,0,Monday
2020-07-27,21,1,Monday
2020-07-27,22,0,Monday
2020-07-27,23,2,Monday
2020-07-28,0,2,Tuesday
2020-07-28,1,1,Tuesday
